# 卷三 第一单元 判答(教材/知识推断)
三	一	5	0	B	畜牧业革兰阴性-布鲁菌
三	一	10	0	B	二级预防-疾病筛检
三	一	12	0	D	均数抽样误差-标准误
三	一	14	0	E	急诊无家属输血-机构负责人批准
三	一	16	0	D	无细胞器-病毒
三	一	17	0	C	典型特征诊断-知觉理解性
三	一	18	0	D	精障住院除外-确诊重症精障
三	一	19	0	A	DNP-解偶联
三	一	21	0	E	米泔水样泻-霍乱弧菌
三	一	22	0	C	婚前检查不包括-肺结核
三	一	23	0	D	器官捐献-自愿无偿
三	一	24	0	B	铁良好来源-动物肝脏
三	一	25	0	A	意志品质不包-独立性
三	一	26	0	B	介水传染病-饮用水接触污染水体
三	一	27	0	A	辅助生殖可实施-优孕技术
三	一	28	0	E	抽样误差原因-样本是总体一部分
三	一	29	0	C	卫生服务需要取决于-自身健康状况
三	一	30	0	A	反式作用因子-蛋白因子(延长因子)(推断)
三	一	31	0	C	温室效应-CO2
三	一	32	0	D	结构轮廓保留-凝固性坏死
三	一	33	0	B	忧者见之忧-心境
三	一	34	0	E	革囊胃-弥漫浸润
三	一	35	0	C	核糖5磷酸-磷酸戊糖途径
三	一	36	0	E	收受财物不严重-警告
三	一	37	0	A	首先提出脑死亡标准-美国哈佛
三	一	38	0	B	第二锋电位最早-相对不应期
三	一	39	0	E	丙类-手足口病
三	一	40	0	C	精神分析-自由联想
三	一	41	0	C	传染源不包-易感者
三	一	42	0	C	产热最大-甲状腺激素
三	一	43	0	B	癌珠-高分化鳞癌
三	一	45	0	C	增生性炎-肠伤寒
三	一	46	0	D	伦理基本原则不包-整体性
三	一	47	0	B	心交感递质-去甲肾上腺素
三	一	48	0	D	不属推定过错-医疗事故致死亡
三	一	49	0	D	直接传氧-细胞色素aa3
三	一	51	0	B	气体交换方向-分压差
三	一	52	0	C	磺胺抑制-二氢叶酸合成酶(与PABA竞争)
三	一	53	0	B	最大外周免疫器官-脾脏
三	一	54	0	A	旅途中救人-道德义务
三	一	55	0	B	传染病方针-预防为主
三	一	56	0	A	别嘌醇-黄嘌呤氧化酶
三	一	57	0	A	局麻药-Na内流
三	一	58	0	C	公卫资源分配-社会公正原则
三	一	59	0	D	急性痛风-低嘌呤膳食
三	一	60	0	B	不引起肉芽肿炎-痢疾杆菌
三	一	61	0	B	儿童HIV告知-监护人
三	一	62	0	D	肾脏水平衡-集合管重吸收
三	一	63	0	C	奥美拉唑不良反应不包-胃黏膜出血
三	一	68	0	E	变形杆菌-熟肉污染
三	一	70	0	D	普通处方≤7日
三	一	72	0	D	急性虫卵结节-嗜酸性粒细胞
三	一	73	0	A	超急性排斥-血管纤维蛋白样坏死
三	一	74	0	C	想吃糖怕胖-趋避冲突
三	一	75	0	B	路易士气-抑制巯基酶
三	一	77	0	B	健康咨询原则不包-同情(推断)
